Year,AnnualQ_acreft,Annual_sediment_tons,AnnualQ_MCM
1983,58952,534035,72.71611292
1984,29425,64455,36.29514898
1985,26987,32236,33.28792474
1986,29746,37760,36.69109606
1987,21423,20060,26.42484202
1988,22089,34186,27.2463397
1989,17359,19810,21.41197931
1990,19154,24855,23.62607591
1991,28935,83924,35.69074378
1992,37186,173212,45.86818725
1993,62510,355208,77.10483476
1994,20000,33027,24.66959999
1995,61182,347579,75.46677332
1996,23501,49438,28.98801346
1997,33946,92181,41.87171206
1998,92345,611461,113.9057105
1999,17334,16439,21.38114231
2000,17780,28864,21.93127439
2001,27320,75686,33.69867358
2002,10610,5640,13.08722279
2003,30909,64740,38.1256333
2004,18690,30464,23.05374119
2005,75860,165810,93.57179275
2006,20150,9291,24.85462199
2007,9000,976,11.10131999
2008,22220,25080,27.40792558
2009,18710,16518,23.07841079
2010,35490,53434,43.77620517
2011,56930,138966,70.22201636
2012,13480,4211,16.62731039
2013,9620,1906,11.86607759
2014,9470,6362,11.68105559
2015,12500,6100,15.41849999
2016,11330,6161,13.97532839
2017,31560,33910,38.92862878
2018,5560,1224,6.858148796
