streamGauge,NSE,peakFlow.observed,peakFlow.modeled,percentError.peakFlow,flowVolume.observed,flowVolume.modeled,percentError.FlowVolume,ID
ELMODENA,0.667412796313025,3055.637,2234.33536319915,-26.878246231501,45214923.6,45154555.3286773,-0.133514040312732,1
CENTRAL_IRVINE,NA,-Inf,927.372685110683,NA,0,21726081.6067202,Inf,1
PETERS,0.626029967446994,4347.224,6362.76591188511,46.3638844440753,116557538.4,155323097.358175,33.2587316876408,1
11048400,0.120966194812482,394.5,177.358896900661,-55.0421047146613,4823100,11756050.380508,143.744694916298,1
11048200,-55.6835760454329,36.75,238.844331425993,549.91654809794,492723,3392736.65537403,588.568760819776,1
SANDIEGO_CULVER,0.575753470924897,2832.073,5708.57816024633,101.568891771022,84431743.2,97664601.0283889,15.6728468782685,1
11048553,0.417826391328066,221.4,130.220674002298,-41.1830740730361,4356855,2660014.46827136,-38.946454075902,1
SANDIEGO_CAMPUS,0.924306574050265,11250.127,11092.5442846865,-1.40071943466505,338434876.8,298302349.215509,-11.8582718081411,1
ELMODENA,0.215091867633676,181.818,272.710762517493,49.9910693756905,1834671.6,2559820.86352202,39.5247445658406,10
CENTRAL_IRVINE,NA,-Inf,77.9681876056313,NA,0,1274005.58458782,Inf,10
PETERS,-119760.357567754,1.254,738.155892635926,58764.1062708075,614116.8,8577754.6633666,1296.76274340103,10
11048400,-2.22667323691791,5.725,17.4606256892202,204.989095008213,172080,220021.15935991,27.8598090190084,10
11048200,-0.00526315789473686,0.1,0,-100,360,0,-100,10
SANDIEGO_CULVER,-11.6276162970982,97.782,378.3520241027,286.934225218036,4173692.4,8265624.54109403,98.0410569090821,10
11048553,0.101682583830568,15.7916666666667,20.1828313280895,27.8068474601971,449079,433136.778665709,-3.54998148082889,10
SANDIEGO_CAMPUS,0.811491453420158,1546.005,1074.68002048085,-30.4866400509151,40736610,19940371.4240429,-51.0504889237399,10
ELMODENA,0.797681634969047,627.582,961.293575269751,53.1741788753902,9309672,9993373.83798288,7.34399491177432,11
CENTRAL_IRVINE,NA,-Inf,297.838057480055,NA,0,8001804.83156154,Inf,11
PETERS,-633.970281153303,141.744,3256.84272193744,2197.69353336821,70567174.8,47385519.560114004,-32.8504794269955,11
11048400,-3.70546425989602,95.35,145.7230404302,52.8296176509701,2534427,6662023.69110034,162.861139464673,11
11048200,-353.762910887828,4.62,48.0499937613323,940.043155007193,73251,2027343.84144495,2667.66711914507,11
